Produto;Nível de comercialização;UF;Período;Preço medio
;;;03/2022;R$ 85,65
;;;04/2022;R$ 74,05
;;;05/2022;R$ 77,45
;;;06/2022;R$ 75,00
;;;07/2022;R$ 67,07
;;;08/2022;R$ 70,48
;;;09/2022;R$ 71,77
;;;10/2022;R$ 71,95
;;;11/2022;R$ 71,73
;;;12/2022;R$ 69,95
;;;01/2023;R$ 72,45
;ATACADO;MT;01/2020;R$ 40,50
;;;02/2020;R$ 42,96
;;;03/2020;R$ 49,12
;;;04/2020;R$ 51,76
;;;05/2020;R$ 49,04
;;;06/2020;R$ 45,51
;;;07/2020;R$ 45,64
;;;08/2020;R$ 53,18
;;;09/2020;R$ 61,01
;;;10/2020;R$ 70,97
;;;11/2020;R$ 73,83
;;;12/2020;R$ 70,07
;;;01/2021;R$ 67,43
;;;02/2021;R$ 74,71
;;;03/2021;R$ 82,28
;;;04/2021;R$ 86,56
;;;05/2021;R$ 93,00
;;;06/2021;R$ 89,00
;;;07/2021;R$ 93,27
;;;08/2021;R$ 98,00
;;;09/2021;R$ 96,36
;;;10/2021;R$ 96,00
;;;11/2021;R$ 92,01
;;;12/2021;R$ 88,00
;;;01/2022;R$ 90,62
;;;02/2022;R$ 93,53
;;;03/2022;R$ 97,71
;;;04/2022;R$ 94,66
;;;05/2022;R$ 94,56
;;;06/2022;R$ 94,78
;;;07/2022;R$ 92,27
;;;08/2022;R$ 86,56
;;;09/2022;R$ 90,49
;;;10/2022;R$ 90,67
;;;11/2022;R$ 90,23
;;;12/2022;R$ 90,87
;;;01/2023;R$ 89,98
;ATACADO;PA;01/2020;R$ 49,81
;;;02/2020;R$ 53,37
;;;03/2020;R$ 55,21
;;;04/2020;R$ 55,11
;;;05/2020;R$ 43,81
;;;06/2020;R$ 42,87
;;;07/2020;R$ 44,38
;;;08/2020;R$ 47,37
;;;09/2020;R$ 54,27
;;;10/2020;R$ 60,39
;;;11/2020;R$ 67,29
;;;12/2020;R$ 71,14
;;;01/2021;R$ 77,17
;;;02/2021;R$ 77,34
;;;03/2021;R$ 76,34
;;;04/2021;R$ 78,79
;;;05/2021;R$ 88,27
;;;06/2021;R$ 86,77
;;;07/2021;R$ 84,92
;;;08/2021;R$ 85,88
;;;09/2021;R$ 88,98
;;;10/2021;R$ 85,54
;;;11/2021;R$ 81,79
;;;12/2021;R$ 82,31
;;;01/2022;R$ 86,01
;;;02/2022;R$ 88,24
;;;03/2022;R$ 91,07
;;;04/2022;R$ 90,14
;;;05/2022;R$ 87,75
;;;06/2022;R$ 85,13
;;;07/2022;R$ 80,69
;;;08/2022;R$ 79,37
;;;09/2022;R$ 81,08
;;;10/2022;R$ 82,65
;;;11/2022;R$ 83,86
;;;12/2022;R$ 85,16
;;;01/2023;R$ 85,17
;ATACADO;PB;01/2020;R$ 59,40
;;;02/2020;R$ 59,60
;;;03/2020;R$ 57,65
;;;04/2020;R$ 56,68
;;;05/2020;R$ 51,25
;;;06/2020;R$ 48,74
;;;07/2020;R$ 50,02
;;;08/2020;R$ 57,97
;;;09/2020;R$ 63,71
;;;10/2020;R$ 64,14
;;;11/2020;R$ 71,64
;;;12/2020;R$ 76,43
;;;01/2021;R$ 78,48
;;;02/2021;R$ 78,59
;;;03/2021;R$ 78,74
;;;04/2021;R$ 86,63
;;;05/2021;R$ 92,10
;;;06/2021;R$ 93,65
;;;07/2021;R$ 94,28
;;;08/2021;R$ 98,96
;;;09/2021;R$ 99,68
;;;10/2021;R$ 96,50
;;;11/2021;R$ 90,15
;;;12/2021;R$ 88,33
;;;01/2022;R$ 90,74
;;;02/2022;R$ 93,49
;;;03/2022;R$ 96,06
